time_step,current_traffic,traffic_delta,is_bursting,is_anomalous,bandwidth_utilization,congestion_penalty,is_throttled,base_latency,total_latency,total_failed_vms,is_system_degraded,total_system_latency,db_load_ratio,is_db_bottleneck,queue_length,queue_delta,avg_wait_time,ema_wait_time,dropped_requests,small_vms,medium_vms,large_vms,pending_count,pending_capacity,cooldown_remaining,total_active_capacity,total_hourly_cost,reward,action
85,138,-16,False,False,0.138,0.0,False,20.0,54.62652,0,False,54.62652,0.096,True,0,0,0.0,7.065853045549151e-10,0,6,2,0,0,0,0,1100,22,0.456,0
86,769,14,False,True,0.769,0.0,False,20.554966976596372,58.9896708368102,0,False,58.9896708368102,0.538,True,0,0,0.0,4.946097131884405e-10,0,5,2,0,0,0,4,1000,20,0.36,4
87,755,-14,False,True,0.755,0.0,False,20.438756923801016,58.61234369426275,0,False,58.61234369426275,0.528,True,0,0,0.0,3.4622679923190833e-10,0,5,2,0,0,0,3,1000,20,0.36,1
88,768,13,False,True,0.768,0.0,False,20.119817479066626,57.81022719347989,0,False,57.81022719347989,0.537,True,0,0,0.0,2.423587594623358e-10,0,5,2,0,0,0,2,1000,20,0.36,1
89,134,-17,False,False,0.134,0.0,False,20.067031979536498,54.789346344748544,0,False,54.789346344748544,0.093,True,0,0,0.0,1.6965113162363506e-10,0,5,2,0,0,0,1,1000,20,0.36,1
90,132,-2,False,False,0.132,0.0,False,20.338255750517412,55.51257052639701,0,False,55.51257052639701,0.092,True,0,0,0.0,1.1875579213654453e-10,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
91,139,7,False,False,0.139,0.0,False,20.0,54.631060000000005,0,False,54.631060000000005,0.097,True,0,0,0.0,8.312905449558116e-11,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
92,104,-35,False,False,0.104,0.0,False,20.07544737582726,54.6758679147336,0,False,54.6758679147336,0.072,True,0,0,0.0,5.819033814690681e-11,0,5,2,0,0,0,0,1000,20,0.45999999999999996,0
93,120,16,False,False,0.12,0.0,False,20.0,54.54480000000001,0,False,54.54480000000001,0.084,True,0,0,0.0,4.073323670283476e-11,0,4,2,0,0,0,4,900,18,0.364,4
94,101,-19,False,False,0.101,0.0,False,20.0,54.45854,0,False,54.45854,0.07,True,0,0,0.0,2.851326569198433e-11,0,4,2,0,0,0,3,900,18,0.464,0
95,123,22,False,False,0.123,0.0,False,20.197845576880294,55.09260305757679,0,False,55.09260305757679,0.086,True,0,0,0.0,1.995928598438903e-11,0,4,2,0,0,0,2,900,18,0.464,0
96,114,-9,False,False,0.114,0.0,False,20.810550958663274,56.706047588390845,0,False,56.706047588390845,0.079,True,0,0,0.0,1.397150018907232e-11,0,4,2,0,0,0,1,900,18,0.464,0
97,111,-3,False,False,0.111,0.0,False,20.0,54.50394,0,False,54.50394,0.077,True,0,0,0.0,9.780050132350624e-12,0,4,2,0,0,0,0,900,18,0.464,0
98,131,20,False,False,0.131,0.0,False,20.0,54.59474,0,False,54.59474,0.091,True,0,0,0.0,6.846035092645436e-12,0,4,2,0,0,0,0,900,18,0.464,0
